iter	Logloss
553	0.5713124797
554	0.5712751007
555	0.5712385712
556	0.5711957296
557	0.5711610362
558	0.5711156006
559	0.5710750427
560	0.5710336609
561	0.5710018107
562	0.5709667002
563	0.5709163005
564	0.5708714854
565	0.5708334707
566	0.57079422
567	0.5707530518
568	0.5707110748
569	0.5706625671
570	0.5706226196
571	0.570589503
572	0.5705478312
573	0.5705137787
574	0.5704768829
575	0.5704343618
576	0.5703978271
577	0.5703511912
578	0.5703089193
579	0.5702753906
580	0.5702275645
581	0.5701974742
582	0.5701559143
583	0.5701151988
584	0.5700801951
585	0.5700440725
586	0.570014328
587	0.5699786275
588	0.5699449056
589	0.5698985647
590	0.5698619029
591	0.5698353373
592	0.5697996521
593	0.5697620341
594	0.5697283936
595	0.5696864319
596	0.5696453603
597	0.5696209768
598	0.5695874125
599	0.5695502167
