iter	Logloss
0	0.6914518433
1	0.6897843323
2	0.6881861776
3	0.6867095032
4	0.6851583049
5	0.6836273193
6	0.6821443329
7	0.6807650299
8	0.6793451894
9	0.6779831441
10	0.676632665
11	0.6753050741
12	0.673942627
13	0.6726192067
14	0.6712331136
15	0.669942983
16	0.6688482107
17	0.667663264
18	0.6665545858
19	0.6654237925
20	0.6642578888
21	0.6631303457
22	0.6620244497
23	0.661075531
24	0.6599589488
25	0.6588767853
26	0.6577980703
27	0.6567627207
28	0.6558062592
29	0.6549220378
30	0.653903422
31	0.6529427236
32	0.6520178375
33	0.6510717468
34	0.650158788
35	0.6493040619
36	0.6484476522
37	0.6475727336
38	0.6466959737
39	0.6458590902
40	0.645019872
41	0.6442448425
42	0.6434877828
43	0.6427339986
44	0.6419131724
45	0.6411357168
46	0.6403410339
47	0.6396451569
48	0.6389201762
49	0.6382126516
50	0.6375109812
51	0.6368377126
52	0.6361140137
53	0.6354648488
54	0.6348744049
55	0.6342078807
56	0.6335900625
57	0.6329472046
58	0.6323595988
59	0.6317443085
60	0.6311772664
61	0.6305519562
62	0.6300047862
63	0.629514562
64	0.6290056458
65	0.6285225169
66	0.6280573985
67	0.6275674998
68	0.6271551259
69	0.6266008657
70	0.6260907389
71	0.6255826976
72	0.6251154785
73	0.6245690715
74	0.6241378937
75	0.6236771291
76	0.6232087402
77	0.6228167063
78	0.6224308116
79	0.6220417175
80	0.6215911662
81	0.6211640778
82	0.6207474721
83	0.620384374
84	0.619950765
85	0.6195632935
86	0.6191936493
87	0.6188203939
88	0.6184665985
89	0.6181055552
90	0.6177365163
91	0.6173698476
92	0.6169949493
93	0.6166116994
94	0.6163400472
95	0.6159637655
96	0.6156369273
97	0.6152899323
98	0.6149225718
99	0.6145784251
100	0.6142840424
101	0.6139773153
102	0.613660202
103	0.6133134308
104	0.6130160217
105	0.612752065
106	0.6124200999
107	0.6121224365
108	0.6118074748
109	0.6115404358
110	0.6113098806
111	0.6109941254
112	0.6107027283
113	0.610396876
114	0.6101166433
115	0.6098736165
116	0.6096485494
117	0.6094106852
118	0.6091641388
119	0.6089279073
120	0.6086778005
121	0.608467631
122	0.6082183584
123	0.6079406942
124	0.6076712545
125	0.6074064331
126	0.6071475321
127	0.6068787231
128	0.6066328328
129	0.6064068807
130	0.6061473338
131	0.6059219309
132	0.6056836192
133	0.6054359639
134	0.6051977488
135	0.6050069784
136	0.6047676188
137	0.6045442759
138	0.6043182068
139	0.6041109314
140	0.6038940226
141	0.6036806997
142	0.6034826864
143	0.6033021393
144	0.6030778656
145	0.6028453827
146	0.6026967773
147	0.6025076599
148	0.6022713826
149	0.6020563609
150	0.6018521016
151	0.6016887004
152	0.6015097656
153	0.6013145396
154	0.601146642
155	0.6009383596
156	0.6007368876
157	0.6005613861
158	0.6003940226
159	0.6001900075
160	0.6000073497
161	0.5998401388
162	0.5996848551
163	0.5995191956
164	0.5993721771
165	0.5991902059
166	0.5990415548
167	0.5988666077
168	0.5986961772
169	0.5985260366
170	0.5983503265
171	0.5981992493
172	0.5980573985
173	0.5978964081
174	0.5977514191
175	0.5976104533
176	0.5974607442
177	0.5973218791
178	0.5971518453
179	0.596991984
180	0.596870519
181	0.596698583
182	0.5965629171
183	0.5964186045
184	0.5962821248
185	0.5961417694
186	0.5960057424
187	0.5958733927
188	0.595734726
189	0.5955990346
190	0.5954313456
191	0.5952872264
192	0.5951705577
193	0.5950625559
194	0.5949373678
195	0.5948115387
196	0.5946882884
197	0.5945404205
198	0.5944178263
199	0.5943086192
200	0.5941768697
201	0.5940712179
202	0.5939564972
203	0.5938517965
204	0.5937378947
205	0.5936344859
206	0.5935115306
207	0.5933963064
208	0.593289561
209	0.5931852824
210	0.5930760752
211	0.5929713389
212	0.5928717499
213	0.5927451223
214	0.5926262919
215	0.5925012919
216	0.5923961843
217	0.5922689209
218	0.5921566315
219	0.5920286204
220	0.5919284719
221	0.5917989044
222	0.5917089183
223	0.5916006775
224	0.5914778595
225	0.5913824972
226	0.5912929637
227	0.5911814779
228	0.5910722148
229	0.5909733988
230	0.590871816
231	0.5907627157
232	0.5906962026
233	0.5906015981
234	0.5905044657
235	0.5904260254
236	0.5903144938
237	0.5902285817
238	0.5901200104
239	0.5900136312
240	0.5899111786
241	0.5898085327
242	0.5897203064
243	0.5896242116
244	0.5895276337
245	0.5894383087
246	0.5893379567
247	0.5892567495
248	0.5891542714
249	0.589048645
250	0.5889618073
251	0.5888680522
252	0.5887743937
253	0.5886875356
254	0.5885898539
255	0.5885089569
256	0.5884218597
257	0.5883380941
258	0.5882463277
259	0.5881633046
260	0.588058197
261	0.5879682312
262	0.587866628
263	0.587769694
264	0.5876637878
265	0.5875643717
266	0.5874657237
267	0.5873892161
268	0.5872953898
269	0.5872342682
270	0.5871474813
271	0.5870591939
272	0.5869787038
273	0.5868875987
274	0.5868087311
275	0.5867186534
276	0.5866429392
277	0.5865610352
278	0.5864881948
279	0.5864040171
280	0.5863296102
281	0.586245636
282	0.5861516927
283	0.5860854848
284	0.5860055745
285	0.5859250793
286	0.5858404999
287	0.5857643433
288	0.5856854655
289	0.585591512
290	0.5855263926
291	0.5854547729
292	0.5853777415
293	0.5852960459
294	0.5852150981
295	0.5851381124
296	0.585055486
297	0.5849694926
298	0.5848831075
299	0.5848051758
300	0.584723643
301	0.5846384989
302	0.5845500437
303	0.5844717458
304	0.584392278
305	0.5843222605
306	0.5842555745
307	0.5841925812
308	0.5841354828
309	0.5840618998
310	0.5839926097
311	0.58392217
312	0.5838476461
313	0.583789561
314	0.5837168274
315	0.5836292267
316	0.583566096
317	0.5834923197
318	0.5834114685
319	0.5833530935
320	0.5832770386
321	0.5832080841
322	0.5831454061
323	0.5830899048
324	0.5830168355
325	0.5829442546
326	0.5828769582
327	0.5828042959
328	0.5827390747
329	0.5826528625
330	0.5825891876
331	0.5825200297
332	0.5824517263
333	0.5823837229
334	0.5823121745
335	0.5822428131
336	0.5821850026
337	0.5821185557
338	0.5820636953
339	0.5820057068
340	0.5819470825
341	0.5819066518
342	0.5818394165
343	0.5817671611
344	0.581703476
345	0.5816537679
346	0.5815812531
347	0.5815282542
348	0.5814602865
349	0.5813899384
350	0.5813146413
351	0.5812456411
352	0.5811990255
353	0.5811351624
354	0.5810785522
355	0.5810107625
356	0.5809413503
357	0.5808791962
358	0.5808177338
359	0.5807522278
360	0.5807027791
361	0.5806444906
362	0.5805801595
363	0.5805228017
364	0.5804629313
365	0.5804013163
366	0.5803453115
367	0.5802755737
368	0.5802168427
369	0.5801821391
370	0.5801223653
371	0.5800494385
372	0.5799917043
373	0.5799380697
374	0.5798794912
375	0.5798287506
376	0.579764506
377	0.579709081
378	0.5796483002
379	0.5795897115
380	0.5795357005
381	0.5794769287
382	0.5794298401
383	0.5793620911
384	0.5793024445
385	0.5792459462
386	0.5791797129
387	0.5791157684
388	0.5790657043
389	0.5790118306
390	0.5789771016
391	0.5789102631
392	0.5788649343
393	0.5788057404
394	0.5787573954
395	0.5787002513
396	0.5786502533
397	0.5785859324
398	0.578529185
399	0.5784695841
400	0.5784053599
401	0.578335495
402	0.578279307
403	0.578216807
404	0.5781721954
405	0.5781102041
406	0.5780594686
407	0.5780126495
408	0.577941803
409	0.5778829041
410	0.5778270416
411	0.5777753906
412	0.5777280935
413	0.5776754201
414	0.57763001
415	0.5775746969
416	0.5775270131
417	0.5774662476
418	0.5774275106
419	0.5773737233
420	0.5773241119
421	0.5772658691
422	0.5772141825
423	0.5771662089
424	0.5771070455
425	0.5770450745
426	0.5769963481
427	0.5769299316
428	0.576875178
429	0.5768260142
430	0.5767690786
431	0.5767205811
432	0.5766848348
433	0.5766355998
434	0.5765971171
435	0.5765542145
436	0.5765081482
437	0.5764568787
438	0.576414327
439	0.5763740896
440	0.5763259481
441	0.5762822876
442	0.5762321065
443	0.5761779378
444	0.5761278381
445	0.5760761108
446	0.5760327098
447	0.5759719137
448	0.5759301656
449	0.5758794454
450	0.5758410288
451	0.5757984212
452	0.5757450867
453	0.5757021332
454	0.5756547292
455	0.5756010234
456	0.5755549774
457	0.5755069987
458	0.5754629618
459	0.5754141693
460	0.5753772736
461	0.5753309174
462	0.5752827047
463	0.5752324422
464	0.575193339
465	0.5751434224
466	0.5750988719
467	0.5750354919
468	0.5749815267
469	0.574941274
470	0.5748951976
471	0.5748512319
472	0.5748055216
473	0.5747609812
474	0.5747044423
475	0.5746525777
476	0.574621404
477	0.574576828
478	0.5745175527
479	0.5744778849
480	0.5744376373
481	0.574402476
482	0.5743652598
483	0.5743213857
484	0.5742833455
485	0.5742409668
486	0.5742108917
487	0.5741626841
488	0.5741158956
489	0.5740649414
490	0.5740104472
491	0.5739688365
492	0.5739172872
493	0.5738718872
494	0.5738392639
495	0.5737975718
496	0.5737494151
497	0.5737039795
498	0.57366038
499	0.5736059723
500	0.5735637207
501	0.5735106099
502	0.573467392
503	0.5734237467
504	0.5733825175
505	0.573328832
506	0.5732887065
507	0.5732472076
508	0.5732004852
509	0.5731561127
510	0.5731060435
511	0.5730619303
512	0.5730214081
513	0.5729720815
514	0.5729275208
515	0.5728835704
516	0.572842748
517	0.5727992096
518	0.5727551117
519	0.5727151184
520	0.5726690623
521	0.5726260173
522	0.5725874176
523	0.5725377401
524	0.5724958242
525	0.5724494324
526	0.5724064433
527	0.5723702443
528	0.5723256226
529	0.5722822774
530	0.5722273254
531	0.5721909536
532	0.5721446126
533	0.5721031087
534	0.5720677287
535	0.5720251719
536	0.5719829814
537	0.5719408213
538	0.5719019826
539	0.571856664
540	0.5718171743
541	0.5717845815
542	0.5717498067
543	0.5717117564
544	0.5716710154
545	0.5716341349
546	0.5715983734
547	0.5715631154
548	0.5715098114
549	0.5714733531
550	0.57142453
551	0.57139151
552	0.5713510488
