iter	Passed	Remaining
407	4976	2341
408	4987	2329
409	4998	2316
410	5009	2303
411	5022	2291
412	5037	2280
413	5050	2269
414	5064	2257
415	5075	2244
416	5087	2232
417	5098	2220
418	5111	2208
419	5124	2196
420	5137	2184
421	5152	2173
422	5165	2161
423	5180	2150
424	5194	2138
425	5205	2126
426	5219	2114
427	5232	2102
428	5245	2090
429	5260	2079
430	5273	2067
431	5287	2056
432	5301	2044
433	5315	2032
434	5328	2020
435	5339	2008
436	5351	1996
437	5362	1983
438	5377	1972
439	5394	1961
440	5408	1949
441	5419	1937
442	5431	1925
443	5445	1913
444	5460	1901
445	5474	1890
446	5486	1877
447	5501	1866
448	5514	1854
449	5527	1842
450	5541	1830
451	5554	1818
452	5568	1806
453	5583	1795
454	5598	1783
455	5612	1772
456	5626	1760
457	5641	1749
458	5659	1738
459	5677	1727
460	5694	1716
461	5709	1705
462	5723	1693
463	5742	1683
464	5756	1671
465	5770	1659
466	5782	1646
467	5796	1635
468	5811	1623
469	5825	1611
470	5838	1598
471	5851	1586
472	5864	1574
473	5877	1562
474	5891	1550
475	5904	1538
476	5916	1525
477	5928	1513
478	5941	1500
479	5954	1488
480	5967	1476
481	5979	1463
482	5992	1451
483	6004	1439
484	6016	1426
485	6027	1413
486	6039	1401
487	6054	1389
488	6069	1377
489	6085	1366
490	6103	1354
491	6119	1343
492	6134	1331
493	6149	1319
494	6164	1307
495	6185	1297
496	6219	1288
497	6238	1277
498	6254	1265
499	6268	1253
500	6281	1241
501	6294	1228
502	6308	1216
503	6321	1204
504	6334	1191
505	6347	1179
506	6359	1166
507	6371	1153
508	6383	1141
509	6396	1128
510	6407	1116
511	6419	1103
512	6432	1090
513	6443	1078
514	6455	1065
515	6466	1052
516	6477	1039
517	6489	1027
518	6500	1014
519	6515	1002
520	6527	989
521	6538	977
522	6548	964
523	6558	951
524	6569	938
525	6579	925
526	6590	912
527	6600	900
528	6611	887
529	6623	874
530	6635	862
531	6647	849
532	6659	837
533	6672	824
534	6683	811
535	6694	799
536	6707	786
537	6719	774
538	6731	761
539	6741	749
540	6752	736
541	6762	723
542	6774	711
543	6785	698
544	6796	685
545	6806	673
546	6818	660
547	6827	647
548	6840	635
549	6851	622
550	6861	610
551	6871	597
552	6883	585
553	6893	572
554	6904	559
555	6916	547
556	6927	534
557	6938	522
558	6948	509
559	6959	497
560	6968	484
561	6979	471
562	6990	459
563	7001	446
564	7012	434
565	7022	421
566	7034	409
567	7044	396
568	7053	384
569	7063	371
570	7074	359
571	7084	346
572	7094	334
573	7104	321
574	7115	309
575	7126	296
576	7136	284
577	7148	272
578	7159	259
579	7169	247
580	7180	234
581	7191	222
582	7201	209
583	7211	197
584	7221	185
585	7231	172
586	7242	160
587	7252	148
588	7262	135
589	7273	123
590	7282	110
591	7293	98
592	7304	86
593	7314	73
594	7327	61
595	7337	49
596	7346	36
597	7360	24
598	7371	12
599	7383	0
